City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
390,Linkou,0,CN,1667533087,25,45.3,130.2833,34.63,12.37
391,Tadine,49,NC,1667533088,73,-21.55,167.8833,80.01,13.13
392,Mungwi,70,ZM,1667533088,45,-10.1732,31.3694,68.59,2.64
393,Luau,41,AO,1667533089,99,-10.7073,22.2247,62.08,3.33
394,Fundão,90,BR,1667533089,89,-19.9341,-40.4047,65.53,6.35
395,Alta Floresta,100,BR,1667533090,63,-9.8756,-56.0861,74.66,4.45
396,Cherskiy,15,RU,1667533090,92,68.75,161.3,-17.32,3.8
397,Jalu,43,LY,1667533091,79,29.0331,21.5482,60.94,6.51
398,Nizhniy Lomov,100,RU,1667533092,98,53.5304,43.6766,32.11,3.51
399,Muros,76,ES,1667532951,95,42.7762,-9.0603,49.68,2.8
400,Honiara,68,SB,1667533092,79,-9.4333,159.95,82.76,3.89
401,Carbonia,100,IT,1667533093,82,39.1672,8.5222,70.45,12.5
402,Mandalgovi,3,MN,1667533093,39,45.7625,106.2708,34.07,14.9
403,Port Hardy,100,CA,1667533094,100,50.6996,-127.4199,39.38,24.16
404,Codajás,26,BR,1667533095,79,-3.8367,-62.0569,70.54,2.66
405,Talnakh,100,RU,1667533088,96,69.4865,88.3972,15.21,8.81
406,Ryōtsu-minato,94,JP,1667533096,63,38.0833,138.4333,51.49,5.44
407,Ağdaş,56,AZ,1667533096,75,40.65,47.4761,53.47,3.06
408,Vostok,64,RU,1667533097,45,46.4856,135.8833,25.56,11.23
409,Tegul'det,100,RU,1667533097,82,57.3064,88.1667,30.51,5.84
410,La Ronge,100,CA,1667533098,86,55.1001,-105.2842,21.45,3.44
411,Rockland,0,US,1667533098,81,41.1668,-74.0496,56.64,2.82
412,Salalah,75,OM,1667532881,73,17.0151,54.0924,78.89,4.61
413,Departamento de Maldonado,0,UY,1667533100,90,-34.6667,-54.9167,52.99,4.79
414,Safaga,100,EG,1667533101,50,26.7292,33.9365,72,10.94
415,Udachny,100,RU,1667533101,92,66.4167,112.4,12.45,18.66
416,Khovd,95,MN,1667533101,57,48.0056,91.6419,31.93,2.3
